Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How anxious did you feel yesterday?,4. How satisfied are you with Somerville as a place to live?,5. How satisfied are you with your neighborhood?,6. How proud are you to be a Somerville resident?,7a. How would you rate the availability of information about city services?,7b. How would you rate the cost of housing?,7c. How would you rate the overall quality of public schools?,7d. How would you rate your trust in the local police?,7e. How would you rate the maintenance of streets and sidewalks?,7f. How would you rate the availability of social community events?,8. How satisfied are you with the quality and number of transportation options available to you?,9. How safe do you feel walking in your neighborhood at night?,10. How satisfied are you with the appearance of parks and squares in your neighborhood?,11. How satisfied are you with the beauty or physical setting of your neighborhood?,1. What is your gender,2. Age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you have children age 18 or younger who live with you?,6. Describe your housing status in Somerville.,7. Do you plan to move away from Somerville in the next two years?,8 How long have you lived here?,9. What is your annual household income?,10. Are you a student?
English,9,9,7,8,7,8,3,3,3,4,4,4,8,7,9,8,Female,25-34,English,White,false,Own,,Less than a year,"$150,000 or more",false
English,9,6,3,9,9,10,4,2,3,2,3,5,8,7,7,9,Female,35-44,English,White,false,Own,,11-15 years,"$100,000 to $149,999",false
English,9,8,6,10,10,10,5,1,4,1,4,5,8,10,10,10,Female,25-34,English,White,false,Own,false,11-15 years,"$100,000 to $149,999",false
English,10,10,10,10,10,10,5,4,5,5,5,5,10,10,10,10,,55-64,Portugese,Hispanic/Latino,false,Own,false,16-20 years,"$25,000 to $49,999",false
English,8,8,4,9,9,10,5,3,,4,4,5,10,9,8,7,Two people answered,45-54,English,White,false,Own,false,4-7 years,"$150,000 or more",false
English,10,10,10,10,10,10,5,2,5,5,5,5,10,10,10,10,Male,65-74,English,White,false,Own,false,21 years or more,"$75,000 to $99,999",false
English,10,10,2,9,9,8,4,1,3,3,3,5,10,10,6,6,Male,25-34,English,White,false,Rent,true,4-7 years,"$75,000 to $99,999",true
English,8,9,9,8,8,9,5,1,,5,4,5,6,10,10,9,Male,45-54,English,White,false,Rent,false,16-20 years,"$100,000 to $149,999",
,,,,,,,,1,,,,,,,,,,,,,,,,,,
English,10,10,7,10,10,10,5,2,3,4,4,5,9,9,9,9,Female,25-34,English,White,false,Rent,true,1-3 years,,false
English,8,9,8,9,10,9,4,1,3,4,2,5,8,7,8,7,Female,45-54,English,White,false,Own,false,8-10 years,"$150,000 or more",false
English,4,3,6,6,2,6,3,3,,3,4,3,1,10,6,3,Male,25-34,English,,false,Own,false,4-7 years,"$100,000 to $149,999",false
English,8,8,6,9,9,8,4,4,,,3,4,8,9,7,8,Male,75 or older,English;Arabic,Arab,false,Own,false,11-15 years,"$150,000 or more",false
English,7,7,4,7,7,8,4,1,,3,3,4,4,7,6,6,Male,25-34,English,White,false,Rent,true,4-7 years,"$100,000 to $149,999",false
English,8,8,5,8,9,10,5,1,4,3,5,5,9,10,10,10,Female,25-34,English,White,false,Rent,false,8-10 years,"$100,000 to $149,999",false
,4,7,4,7,7,7,4,1,4,4,3,4,7,10,9,9,Female,55-64,,White,false,Rent,false,,"$50,000 to 74,999",false
English,2,4,2,4,6,10,5,1,4,1,1,3,8,4,6,5,Male,45-54,,White,true,Own,false,21 years or more,"$10,000 to $24,999",false
,9,8,8,9,9,10,4,2,4,4,3,5,7,10,9,8,Female,25-34,English,White,false,Rent,false,8-10 years,"$25,000 to $49,999",true
English,9,9,9,9,9,9,5,3,3,4,4,4,9,9,8,8,Female,35-44,,White,true,Own,,16-20 years,"$150,000 or more",false
,9,9,8,10,8,10,4,1,3,4,5,5,8,9,8,7,Female,35-44,English,,true,Own,false,4-7 years,"$150,000 or more",false
English,8,8,9,6,6,6,4,3,4,5,4,4,9,9,9,8,Male,65-74,English,White,false,Own,true,21 years or more,"$25,000 to $49,999",false
English,9,9,2,9,9,9,5,2,5,5,4,4,9,9,9,9,Male,35-44,English,White,true,Rent,false,11-15 years,"$100,000 to $149,999",false
English,8,8,10,9,10,10,4,1,4,4,4,4,8,10,10,9,Female,45-54,English,White,true,Rent,false,8-10 years,"$100,000 to $149,999",false
English,10,10,10,8,7,10,5,1,4,4,2,4,7,8,8,7,Male,25-34,English,White,false,Rent,false,4-7 years,"$100,000 to $149,999",false
English,7,9,,9,7,10,4,3,3,3,4,5,9,10,6,8,Female,45-54,English,White,false,Own,false,,"$150,000 or more",
English,4,4,3,7,7,7,3,2,2,1,2,3,8,5,8,5,Female,65-74,English,White,false,Own,false,21 years or more,"$75,000 to $99,999",false
English,8,9,7,8,8,7,4,3,2,3,2,4,7,5,7,6,Female,25-34,English,White,false,Rent,true,1-3 years,"$150,000 or more",false
English,8,8,8,9,10,8,5,2,,3,2,5,9,9,9,9,Female,65-74,English,White,false,Own,false,21 years or more,,false
English,8,8,6,9,8,8,3,2,2,4,3,3,10,9,8,8,Female,35-44,English;Chinese,Asian,true,Rent,true,4-7 years,"$50,000 to 74,999",
English,10,9,10,9,9,10,5,4,4,5,5,5,10,10,10,10,Male,,English,White,true,Own,false,21 years or more,,false
English,8,7,3,9,8,8,4,3,3,3,3,5,10,9,9,9,Female,55-64,English,White;American,false,Rent,true,11-15 years,"Less than $10,000",false
